curve_num,model,n,n_unique_time,dynamic_range,rss,aic,bic,params,Species,Temp,Medium,PopBio_units
1,quadratic,28,28,0.2765217391304346,0.0009993448412369578,-280.73722455365873,-276.7406110231331,"-0.0216595,0.000855754,-5.97887e-07",Chryseobacterium.balustinum,5,TSB,OD_595
1,cubic,28,28,0.2765217391304346,0.0009991663698507623,-278.74222547514375,-273.41340743444295,"-0.0219174,0.000859885,-6.12537e-07,1.40847e-11",Chryseobacterium.balustinum,5,TSB,OD_595
1,logistic,28,28,0.2765217391304346,0.002763459443579307,-252.2573412361216,-248.26072770559597,"0.276859,0.0102395,233.19",Chryseobacterium.balustinum,5,TSB,OD_595
1,gompertz,28,28,0.2765217391304346,0.0010919868052889814,-278.25490785933715,-274.25829432881153,"0.290659,0.00662809,180.531",Chryseobacterium.balustinum,5,TSB,OD_595
2,quadratic,28,28,0.5141574995634708,0.11303316068706432,-148.34379957045155,-144.34718603992593,"0.202008,0.00194213,-2.27097e-06",Enterobacter.sp.,5,TSB,OD_595
2,cubic,28,28,0.5141574995634708,0.025134148416450484,-188.44050644329,-183.11168840258918,"0.0216611,0.00484322,-1.25794e-05,9.92158e-09",Enterobacter.sp.,5,TSB,OD_595
2,logistic,28,28,0.5141574995634708,0.0026764493492178296,-253.153124796866,-249.15651126634037,"0.566753,0.0398231,66.5736",Enterobacter.sp.,5,TSB,OD_595
2,gompertz,28,28,0.5141574995634708,0.0030311334423170967,-249.66864865393836,-245.67203512341274,"0.568258,0.0287673,50.8459",Enterobacter.sp.,5,TSB,OD_595
3,quadratic,28,28,0.5090797974506726,0.141565668022965,-142.0414906532862,-138.04487712276057,"0.0675119,0.00227216,-2.77225e-06",Pantoea.agglomerans.1,5,TSB,OD_595
3,cubic,28,28,0.5090797974506726,0.04318620439687672,-173.28428325204104,-167.95546521134023,"-0.125738,0.0053548,-1.36807e-05,1.04686e-08",Pantoea.agglomerans.1,5,TSB,OD_595
3,logistic,28,28,0.5090797974506726,0.015333834438781488,-204.27714403024737,-200.28053049972175,"0.473379,0.0614085,89.5553",Pantoea.agglomerans.1,5,TSB,OD_595
3,gompertz,28,28,0.5090797974506726,0.01714845926558546,-201.14544083303016,-197.14882730250454,"0.473807,0.045119,78.9198",Pantoea.agglomerans.1,5,TSB,OD_595
4,quadratic,30,30,0.5540876549676967,0.10827164496469299,-162.72928080795793,-158.52568866297148,"-0.068604,0.00340297,-4.57221e-06",Pantoea.agglomerans.2,5,TSB,OD_595
4,cubic,30,30,0.5540876549676967,0.046866363299627116,-185.8495732881315,-180.24478376148286,"-0.220351,0.00581047,-1.30695e-05,8.16033e-09",Pantoea.agglomerans.2,5,TSB,OD_595
4,logistic,30,30,0.5540876549676967,0.24277281036076312,-138.50479774250184,-134.30120559751538,"0.451276,0.0643352,112.731",Pantoea.agglomerans.2,5,TSB,OD_595
4,gompertz,30,30,0.5540876549676967,0.24590843032231263,-138.11980285411553,-133.91621070912907,"0.451166,0.0506273,103.231",Pantoea.agglomerans.2,5,TSB,OD_595
5,quadratic,28,28,0.0077946568884232,7.934760614898449e-05,-351.66855011655304,-347.6719365860274,"0.00372732,4.34227e-06,-1.27537e-08",Bacillus.pumilus,5,TSB,OD_595
5,cubic,28,28,0.0077946568884232,7.866497542920737e-05,-349.91047742224157,-344.58165938154076,"0.00322386,1.23909e-05,-4.12437e-08,2.73312e-11",Bacillus.pumilus,5,TSB,OD_595
