curve_num,curve_id,Species,Temp,Medium,Rep,PopBio_units,n_points,time_min,time_max,pop_min,pop_max
1,"Chryseobacterium.balustinum_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Chryseobacterium.balustinum,5,TSB,1,OD_595,29,-1.4210854715202e-14,669.879518072289,0.0052173913043479,0.285151038938362
2,"Enterobacter.sp._5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Enterobacter.sp.,5,TSB,1,OD_595,29,-4.2632564145606e-14,669.879518072289,0.0295652173913047,0.581917234154007
3,"Pantoea.agglomerans.1_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Pantoea.agglomerans.1,5,TSB,1,OD_595,29,-4.2632564145606e-14,671.084337349398,0.0052173913043478,0.519444735463594
4,"Pantoea.agglomerans.2_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Pantoea.agglomerans.2,5,TSB,1,OD_595,31,-1.4210854715202e-14,671.084337349398,0.0052173913043479,0.564452592980618
5,"Bacillus.pumilus_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Bacillus.pumilus,5,TSB,1,OD_595,29,-1.4210854715202e-14,672.289156626506,-0.0011838658983759,0.0066107909900473
6,"Clavibacter.michiganensis_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Clavibacter.michiganensis,5,TSB,1,OD_595,29,-3.41060513164848e-13,670.588235294118,0.0140762463343111,0.404692082111437
7,"Pseudomonas.fluorescens.1_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Pseudomonas.fluorescens.1,5,TSB,1,OD_595,29,-3.41060513164848e-13,670.588235294117,0.0052785923753666,0.283284457478006
8,"Pseudomonas.fluorescens.2_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Pseudomonas.fluorescens.2,5,TSB,1,OD_595,29,-4.54747350886464e-13,671.805273833671,0.0035190615835777,0.170674486803519
9,"Acinetobacter.clacoaceticus.1_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Acinetobacter.clacoaceticus.1,5,TSB,1,OD_595,29,-2.27373675443232e-13,671.805273833671,0.0175953079178884,0.130205278592375
10,"Acinetobacter.clacoaceticus.2_5_TSB_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080._1",Acinetobacter.clacoaceticus.2,5,TSB,1,OD_595,29,-3.41060513164848e-13,670.588235294117,0.0087976539589443,0.110850439882698
