curve_num,model,n,n_unique_time,dynamic_range,rss,aic,bic,params,Species,Temp,Medium,PopBio_units,min_aic_curve,min_bic_curve,delta_aic,delta_bic
1,quadratic,28,28,0.2765217391304346,0.0009993448412369,-280.73722455365873,-276.7406110231331,"-0.0216595,0.000855754,-5.97887e-07",Chryseobacterium.balustinum,5,TSB,OD_595,-280.73722455365873,-276.7406110231331,0.0,0.0
1,cubic,28,28,0.2765217391304346,0.0009991663698507,-278.7422254751437,-273.41340743444295,"-0.0219174,0.000859885,-6.12537e-07,1.40847e-11",Chryseobacterium.balustinum,5,TSB,OD_595,-280.73722455365873,-276.7406110231331,1.9949990785150362,3.3272035886901676
1,logistic,28,28,0.2765217391304346,0.0027634594435793,-252.2573412361216,-248.260727705596,"0.276859,0.0102395,233.19",Chryseobacterium.balustinum,5,TSB,OD_595,-280.73722455365873,-276.7406110231331,28.479883317537144,28.479883317537116
1,gompertz,28,28,0.2765217391304346,0.0010919868052889,-278.25490785933715,-274.2582943288116,"0.290659,0.00662809,180.531",Chryseobacterium.balustinum,5,TSB,OD_595,-280.73722455365873,-276.7406110231331,2.4823166943215824,2.4823166943215256
2,quadratic,28,28,0.5141574995634708,0.1130331606870643,-148.34379957045155,-144.34718603992593,"0.202008,0.00194213,-2.27097e-06",Enterobacter.sp.,5,TSB,OD_595,-253.153124796866,-249.1565112663404,104.80932522641444,104.80932522641447
2,cubic,28,28,0.5141574995634708,0.0251341484164504,-188.44050644329,-183.1116884025892,"0.0216611,0.00484322,-1.25794e-05,9.92158e-09",Enterobacter.sp.,5,TSB,OD_595,-253.153124796866,-249.1565112663404,64.712618353576,66.0448228637512
2,logistic,28,28,0.5141574995634708,0.0026764493492178,-253.153124796866,-249.1565112663404,"0.566753,0.0398231,66.5736",Enterobacter.sp.,5,TSB,OD_595,-253.153124796866,-249.1565112663404,0.0,0.0
2,gompertz,28,28,0.5141574995634708,0.003031133442317,-249.6686486539384,-245.67203512341277,"0.568258,0.0287673,50.8459",Enterobacter.sp.,5,TSB,OD_595,-253.153124796866,-249.1565112663404,3.4844761429276048,3.484476142927633
3,quadratic,28,28,0.5090797974506726,0.141565668022965,-142.0414906532862,-138.04487712276057,"0.0675119,0.00227216,-2.77225e-06",Pantoea.agglomerans.1,5,TSB,OD_595,-204.27714403024737,-200.28053049972172,62.23565337696118,62.23565337696115
3,cubic,28,28,0.5090797974506726,0.0431862043968767,-173.28428325204104,-167.95546521134025,"-0.125738,0.0053548,-1.36807e-05,1.04686e-08",Pantoea.agglomerans.1,5,TSB,OD_595,-204.27714403024737,-200.28053049972172,30.992860778206335,32.32506528838147
3,logistic,28,28,0.5090797974506726,0.0153338344387814,-204.27714403024737,-200.28053049972172,"0.473379,0.0614085,89.5553",Pantoea.agglomerans.1,5,TSB,OD_595,-204.27714403024737,-200.28053049972172,0.0,0.0
3,gompertz,28,28,0.5090797974506726,0.0171484592655854,-201.14544083303016,-197.14882730250451,"0.473807,0.045119,78.9198",Pantoea.agglomerans.1,5,TSB,OD_595,-204.27714403024737,-200.28053049972172,3.131703197217206,3.131703197217206
4,quadratic,30,30,0.5540876549676967,0.1082716449646929,-162.7292808079579,-158.52568866297148,"-0.068604,0.00340297,-4.57221e-06",Pantoea.agglomerans.2,5,TSB,OD_595,-185.8495732881315,-180.2447837614829,23.12029248017359,21.719095098511417
4,cubic,30,30,0.5540876549676967,0.0468663632996271,-185.8495732881315,-180.2447837614829,"-0.220351,0.00581047,-1.30695e-05,8.16033e-09",Pantoea.agglomerans.2,5,TSB,OD_595,-185.8495732881315,-180.2447837614829,0.0,0.0
4,logistic,30,30,0.5540876549676967,0.2427728103607631,-138.50479774250184,-134.30120559751538,"0.451276,0.0643352,112.731",Pantoea.agglomerans.2,5,TSB,OD_595,-185.8495732881315,-180.2447837614829,47.34477554562966,45.943578163967516
4,gompertz,30,30,0.5540876549676967,0.2459084303223126,-138.11980285411553,-133.91621070912907,"0.451166,0.0506273,103.231",Pantoea.agglomerans.2,5,TSB,OD_595,-185.8495732881315,-180.2447837614829,47.72977043401596,46.32857305235382
5,quadratic,28,28,0.0077946568884232,7.934760614898449e-05,-351.66855011655304,-347.6719365860274,"0.00372732,4.34227e-06,-1.27537e-08",Bacillus.pumilus,5,TSB,OD_595,-351.66855011655304,-347.6719365860274,0.0,0.0
5,cubic,28,28,0.0077946568884232,7.866497542920737e-05,-349.9104774222416,-344.5816593815408,"0.00322386,1.23909e-05,-4.12437e-08,2.73312e-11",Bacillus.pumilus,5,TSB,OD_595,-351.66855011655304,-347.6719365860274,1.7580726943114087,3.090277204486597
5,logistic,28,28,0.0077946568884232,0.0001060357240903,-343.55029231040464,-339.553678779879,"0.00643166,3.19337e-14,178.02",Bacillus.pumilus,5,TSB,OD_595,-351.66855011655304,-347.6719365860274,8.118257806148392,8.118257806148392
