curve_num,curve_id,Species,Temp,Medium,Rep,PopBio_units,n_points,time_min,time_max,pop_min,pop_max,dynamic_range
274,"Lactobacillus plantarum_20_MRS broth_Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61._1",Lactobacillus plantarum,20,MRS broth,1,N,16,1.8843339681267,80.310428270737,103.065397867895,3546849027.97338,3546848924.9079823
273,"Lactobacillus plantarum_16_MRS broth_Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61._1",Lactobacillus plantarum,16,MRS broth,1,N,18,0.94503071349817,124.698234510803,83.6723083825988,2119130664.18869,2119130580.5163815
272,"Lactobacillus plantarum_12_MRS broth_Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61._1",Lactobacillus plantarum,12,MRS broth,1,N,16,0.950758172367898,368.905625796475,88.1457908772029,1971189388.87363,1971189300.7278392
280,"Weissella viridescens_20_MRS broth_Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61._1",Weissella viridescens,20,MRS broth,1,N,15,1.87573270808903,58.147713950762,82.6524266572566,1727792637.38751,1727792554.7350833
279,"Weissella viridescens_16_MRS broth_Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61._1",Weissella viridescens,16,MRS broth,1,N,17,2.81359906213356,96.1313012895662,66.8033688236728,1720052607.18758,1720052540.3842113
277,"Weissella viridescens_8_MRS broth_Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61._1",Weissella viridescens,8,MRS broth,1,N,20,0.937866354044473,337.162954279015,39.2553621304904,417077044.644869,417077005.3895069
283,"Lactobacillus sakei_8_MRS broth_Silva, A.P.R.D., Longhi, D.A., Dalcanton, F. and Aragão, G.M.F.D., 2018. Modelling the growth of lactic acid bacteria at different temperatures. Brazilian Archives of Biology and Technology, 61._1",Lactobacillus sakei,8,MRS broth,1,N,19,6.27261761158023,383.594692400482,58.31935721413,201415222.917051,201415164.59769377
305,"Lactobaciulus plantarum_25_MRS_Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213._1",Lactobaciulus plantarum,25,MRS,1,N,89,0.0573553724096918,51.9557473900689,2.18261925744977,27151.7357484672,27149.55312920975
303,"Lactobaciulus plantarum_15_MRS_Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213._1",Lactobaciulus plantarum,15,MRS,1,N,88,1.51969228590983,124.750011798853,2.47934036545174,25068.9729659811,25066.493625615647
304,"Lactobaciulus plantarum_20_MRS_Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213._1",Lactobaciulus plantarum,20,MRS,1,N,108,0.994436867528478,56.1367785553096,1.33931096317057,21271.2710320127,21269.931721049532
107,"Tetraselmis tetrahele_25_ESAW_Bernhardt, J.R., Sunday, J.M. and O’Connor, M.I., 2018. Metabolic theory and the temperature-size rule explain the temperature dependence of population carrying capacity. The American naturalist, 192(6), pp.687-697._4",Tetraselmis tetrahele,25,ESAW,4,N,15,16.1797752808986,1014.29266828927,610.407203761279,14036.9875890781,13426.580385316822
302,"Lactobaciulus plantarum_10_MRS_Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213._1",Lactobaciulus plantarum,10,MRS,1,N,151,1.48665549708571,345.07029166765,1.174915149451,7072.42870947292,7071.253794323468
