curve_num,model,n,rss,aic,bic,params,Species,Temp,Medium,PopBio_units
274,quadratic,16,7.6389563672545e+17,620.473901621791,622.7916677885104,"3.84334e+08,-5.23501e+07,1.13003e+06",Lactobacillus plantarum,20,MRS broth,N
274,cubic,16,5.775130643387185e+17,617.9986997926803,621.0890546816395,"1.00408e+08,-1.08651e+07,-124949,10111.9",Lactobacillus plantarum,20,MRS broth,N
274,logistic,16,6.049317354318619e+18,653.5822141333222,655.8999803000415,"3.97722e+09,0.040515,80.3104",Lactobacillus plantarum,20,MRS broth,N
274,gompertz,16,3.768217948277143e+17,609.1673608895966,611.485127056316,"4.68384e+09,0.0689333,63.2299",Lactobacillus plantarum,20,MRS broth,N
273,quadratic,18,1.318691810930367e+18,704.9904019593431,707.6615172330316,"9.25963e+07,-1.47026e+07,256283",Lactobacillus plantarum,16,MRS broth,N
273,cubic,18,1.3022892210608517e+18,706.7651042799066,710.3265913114913,"1.58798e+08,-2.19089e+07,399413,-752.928",Lactobacillus plantarum,16,MRS broth,N
273,logistic,18,1.0795375918285775e+18,701.3884687752061,704.0595840488946,"1.84866e+09,0.116596,89.4136",Lactobacillus plantarum,16,MRS broth,N
273,gompertz,18,1.0476632716622583e+18,700.8489986028001,703.5201138764886,"2.08228e+09,0.0636395,85.9492",Lactobacillus plantarum,16,MRS broth,N
272,quadratic,16,4.8734794014547456e+17,613.282655948833,615.6004221155524,"1.26703e+08,-5.3063e+06,30270.1",Lactobacillus plantarum,12,MRS broth,N
272,cubic,16,4.853541966977078e+17,615.2170655925888,618.307420481548,"1.47926e+08,-6.13426e+06,36265.8,-10.9811",Lactobacillus plantarum,12,MRS broth,N
272,logistic,16,8964651607221894.0,549.3516306805822,551.6693968473015,"2.01323e+09,0.0551393,269.921",Lactobacillus plantarum,12,MRS broth,N
272,gompertz,16,3.2521033130456076e+16,569.9691956148016,572.286961781521,"2.12439e+09,0.0294165,256.44",Lactobacillus plantarum,12,MRS broth,N
280,quadratic,15,8.819977941016e+17,585.1937362319032,587.3178868352098,"-1.41941e+08,6.72283e+06,530057",Weissella viridescens,20,MRS broth,N
280,cubic,15,3.8538193038866464e+17,574.7744159501932,577.606616754602,"3.43569e+08,-9.22632e+07,4.70085e+06,-46629",Weissella viridescens,20,MRS broth,N
280,logistic,15,1.552340859360983e+17,559.1349060498043,561.2590566531109,"1.69778e+09,0.272929,35.0024",Weissella viridescens,20,MRS broth,N
280,gompertz,15,1.6869213105477773e+17,560.3820230649807,562.5061736682873,"1.74095e+09,0.172563,32.5344",Weissella viridescens,20,MRS broth,N
279,quadratic,17,7.592615408112942e+17,657.7444590340327,660.2440990662013,"4.4439e+07,-9.53941e+06,251407",Weissella viridescens,16,MRS broth,N
279,cubic,17,7.141847687949646e+17,658.7039809122006,662.0368342884254,"1.62578e+08,-2.54298e+07,662703,-2817.08",Weissella viridescens,16,MRS broth,N
279,logistic,17,4.5399963262313434e+17,649.0022104748209,651.5018505069895,"1.36609e+09,0.187961,71.8291",Weissella viridescens,16,MRS broth,N
279,gompertz,17,5.3482256041942886e+17,651.7874673595035,654.2871073916721,"1.43067e+09,0.0861309,66.5984",Weissella viridescens,16,MRS broth,N
277,quadratic,20,7623139797240757.0,677.4846490613847,680.4718458820468,"2.75136e+07,-1.23305e+06,7137.18",Weissella viridescens,8,MRS broth,N
277,cubic,20,5815740864645126.0,674.0722460999563,678.0551751941722,"1.07974e+07,-473682,1374.21,11.3712",Weissella viridescens,8,MRS broth,N
277,logistic,20,2001200283728252.5,650.7358252753531,653.7230220960151,"4.47016e+08,0.0318383,268.513",Weissella viridescens,8,MRS broth,N
277,gompertz,20,998989739222383.5,636.840666998434,639.827863819096,"5.51895e+08,0.0159525,261.762",Weissella viridescens,8,MRS broth,N
283,quadratic,19,5515127580732814.0,638.7348118301702,641.5681287676696,"-1.57444e+07,245568,1012.92",Lactobacillus sakei,8,MRS broth,N
283,cubic,19,1226836349051240.5,612.1767477567073,615.9545036733731,"1.99647e+07,-994211,8949.01,-13.3965",Lactobacillus sakei,8,MRS broth,N
283,logistic,19,803501885779530.5,602.1356717089747,604.968988646474,"1.9956e+08,0.0261538,230.313",Lactobacillus sakei,8,MRS broth,N
283,gompertz,19,508741517520235.75,593.4519218038192,596.2852387413186,"2.12212e+08,0.0161055,209.606",Lactobacillus sakei,8,MRS broth,N
305,quadratic,89,879122887.1030214,1439.416100270906,1446.8820093801025,"-3391.04,589.004,-4.34562",Lactobaciulus plantarum,25,MRS,N
305,cubic,89,690042387.1526997,1419.862822098754,1429.8173675776825,"18.228,-264.648,40.004,-0.590919",Lactobaciulus plantarum,25,MRS,N
305,logistic,89,587304729.6255393,1403.515202346756,1410.9811114559525,"12618.7,0.418821,19.5544",Lactobaciulus plantarum,25,MRS,N
305,gompertz,89,583705989.7852442,1402.968172590661,1410.4340816998574,"13013.1,0.255302,18.0497",Lactobaciulus plantarum,25,MRS,N
