curve_num,model,n,n_unique_time,dynamic_range,rss,aic,bic,params,Species,Temp,Medium,PopBio_units
1,quadratic,28,28,0.2765217391304346,0.0009993448412369,-280.73722455365873,-276.7406110231331,"-0.0216595,0.000855754,-5.97887e-07",Chryseobacterium.balustinum,5,TSB,OD_595
2,logistic,28,28,0.5141574995634708,0.0026764493492178,-253.153124796866,-249.1565112663404,"0.566753,0.0398231,66.5736",Enterobacter.sp.,5,TSB,OD_595
3,logistic,28,28,0.5090797974506726,0.0153338344387814,-204.27714403024737,-200.28053049972172,"0.473379,0.0614085,89.5553",Pantoea.agglomerans.1,5,TSB,OD_595
4,cubic,30,30,0.5540876549676967,0.0468663632996271,-185.8495732881315,-180.2447837614829,"-0.220351,0.00581047,-1.30695e-05,8.16033e-09",Pantoea.agglomerans.2,5,TSB,OD_595
5,quadratic,28,28,0.0077946568884232,7.934760614898449e-05,-351.66855011655304,-347.6719365860274,"0.00372732,4.34227e-06,-1.27537e-08",Bacillus.pumilus,5,TSB,OD_595
6,cubic,28,28,0.3782991202346041,0.001231609826317,-272.8858548614675,-267.5570368207667,"0.00175103,0.000796349,4.83651e-07,-1.18483e-09",Clavibacter.michiganensis,5,TSB,OD_595
7,cubic,28,28,0.2727272727272727,0.0081228690859711,-220.06773812707883,-214.738920086378,"-0.0856332,0.00248039,-5.44859e-06,3.5774e-09",Pseudomonas.fluorescens.1,5,TSB,OD_595
8,logistic,28,28,0.1671554252199412,0.0015977316054837,-267.5984975482598,-263.60188401773416,"0.159628,0.016737,216.361",Pseudomonas.fluorescens.2,5,TSB,OD_595
9,quadratic,28,28,0.1108504398826975,0.0005149006536703,-299.3047505642086,-295.3081370336829,"0.0105506,0.000418513,-3.95561e-07",Acinetobacter.clacoaceticus.1,5,TSB,OD_595
10,quadratic,28,28,0.0985337243401758,0.0004803443671084,-301.2499301197931,-297.25331658926746,"0.00509266,0.000400941,-3.9034e-07",Acinetobacter.clacoaceticus.2,5,TSB,OD_595
11,logistic,28,28,0.2121739130434783,0.0021458040360919,-259.34047302034054,-255.3438594898149,"0.210503,0.0260217,137.706",Stenotrophomonas.maltophilia.1,5,TSB,OD_595
12,logistic,28,28,0.2521739130434784,0.0012320503066554,-274.8758425635516,-270.879229033026,"0.261172,0.0144317,200.846",Stenotrophomonas.maltophilia.2,5,TSB,OD_595
13,logistic,28,28,0.3443478260869571,0.0045023563423002,-238.59004913856745,-234.59343560804183,"0.380085,0.0243191,105.464",Klebsiella.pneumonia,5,TSB,OD_595
14,quadratic,28,28,0.0104347826086962,9.824291405230672e-05,-345.68761436468844,-341.6910008341628,"0.0157999,-5.67999e-05,7.93876e-08",Dickeya.zeae,5,TSB,OD_595
15,cubic,29,29,0.0365217391304353,6.582062655777241e-05,-368.88032063137007,-363.41113731142417,"0.00165833,4.12695e-05,-2.3053e-07,3.67327e-10",Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2,5,TSB,OD_595
16,logistic,28,28,0.4347826086956521,0.0071922921129007,-225.47459654052528,-221.4779830099997,"0.412331,0.0369379,140.677",Pantoea.agglomerans..RDA.R.,5,TSB,OD_595
17,quadratic,28,28,0.0105073111216548,0.00013304569243,-337.1966285107625,-333.20001498023686,"0.00767403,-1.33062e-05,7.96627e-09",Dickeya.zeae..RDA.R.,5,TSB,OD_595
18,quadratic,28,28,0.0344278962578637,0.0002384709406759,-320.85709300338607,-316.86047947286045,"0.017467,0.000107488,-9.75797e-08",Acinetobacter.clacoaceticus..RDA.R.,5,TSB,OD_595
19,logistic,28,28,0.1486403716871953,0.0005055524458887,-299.8177719670915,-295.8211584365659,"0.157553,0.0122696,267.121",Stenotrophomonas.maltophilia..RDA.R.,5,TSB,OD_595
20,quadratic,28,28,0.0086956521739135,0.0001129589696413,-341.7793316447272,-337.78271811420154,"0.0141759,-4.98311e-05,7.20322e-08",Klebsiella.pneumonia..RDA.R.,5,TSB,OD_595
21,quadratic,28,28,0.0078564518414907,0.000124561629253,-339.04160489772266,-335.04499136719704,"-0.00215254,7.97972e-06,-9.27174e-09",Bacillus.pumilus..RDA.R.,5,TSB,OD_595
22,cubic,28,28,0.2964267008447998,0.0009688286031237,-279.6055658575414,-274.2767478168406,"0.0173727,0.000327034,1.07904e-06,-1.33368e-09",Clavibacter.michiganensis..RDA.R.,5,TSB,OD_595
23,cubic,21,21,0.2933333333333331,0.0019075325099295,-187.4358109786792,-183.2577212277855,"0.000796333,0.00357863,-1.18015e-05,1.17516e-08",Chryseobacterium.balustinum,15,TSB,OD_595
24,gompertz,29,29,0.8240000000000002,0.0274962833208871,-195.86900769653263,-191.7671202065732,"0.832011,0.141753,8.64144",Enterobacter.sp.,15,TSB,OD_595
25,cubic,27,23,0.701333333333334,0.1470216254433128,-132.75133634354538,-127.56798887952806,"0.0476784,0.0101628,-4.76982e-05,5.84246e-08",Pantoea.agglomerans.1,15,TSB,OD_595
26,cubic,27,26,0.794666666666667,0.4152028749361867,-104.72027200134374,-99.53692453732644,"0.0864424,0.00839421,-4.32729e-05,5.61401e-08",Pantoea.agglomerans.2,15,TSB,OD_595
27,cubic,22,22,0.1680000000000006,0.0014857308829698,-203.26359988978535,-198.89943007635213,"-0.0103751,0.00180279,-5.65611e-06,4.7023e-09",Bacillus.pumilus,15,TSB,OD_595
28,cubic,23,23,0.6576936104695921,0.0277133316996859,-146.5907259001684,-142.0487490364518,"-0.027403,0.00761197,-2.5191e-05,2.25251e-08",Clavibacter.michiganensis,15,TSB,OD_595
29,cubic,23,23,0.2944357197844495,0.0147173562050161,-161.14710607771863,-156.60512921400203,"-0.00707988,0.00388701,-1.61728e-05,1.84612e-08",Pseudomonas.fluorescens.1,15,TSB,OD_595
30,gompertz,23,23,0.2784603541185527,0.0046427482567801,-189.6826891677097,-186.27620651992223,"0.258352,0.0454149,26.3771",Pseudomonas.fluorescens.2,15,TSB,OD_595
31,logistic,21,21,0.1729822940723628,0.0113646818254839,-151.9571123716077,-148.82354505843745,"0.205017,0.0845085,18.1911",Acinetobacter.clacoaceticus.1,15,TSB,OD_595
32,cubic,25,25,0.2238460354118551,0.0097582960163736,-188.2128326788496,-183.3373293793768,"0.0349888,0.00276203,-1.27002e-05,1.52438e-08",Acinetobacter.clacoaceticus.2,15,TSB,OD_595
33,cubic,23,22,0.2537652637527333,0.0057457075873323,-182.7803177848368,-178.23834092112017,"0.0208157,0.00305016,-1.2154e-05,1.31621e-08",Stenotrophomonas.maltophilia.1,15,TSB,OD_595
34,cubic,23,23,0.3252438515024207,0.0058847062356618,-182.2305314771507,-177.6885546134341,"0.0042624,0.00419733,-1.68918e-05,1.81392e-08",Stenotrophomonas.maltophilia.2,15,TSB,OD_595
35,gompertz,32,31,0.7747229797793668,0.0340792339305531,-213.0336946763832,-208.63648696798404,"0.809102,0.143924,7.40836",Klebsiella.pneumonia,15,TSB,OD_595
36,cubic,25,25,0.6956340139062929,0.1458086154212546,-120.60840488352017,-115.73290158404735,"0.0323906,0.00971434,-4.21327e-05,4.87311e-08",Dickeya.zeae,15,TSB,OD_595
37,gompertz,23,23,0.6315078253605563,0.0820907639148131,-123.61475160379764,-120.2082689560102,"0.512565,0.157951,32.0223",Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2,15,TSB,OD_595
38,cubic,23,23,0.6370482297732257,0.0767454982966686,-123.16335957842315,-118.62138271470656,"0.000712795,0.00927222,-4.18605e-05,4.99477e-08",Pantoea.agglomerans..RDA.R.,15,TSB,OD_595
39,cubic,23,22,0.7422694380292526,0.0403831670931413,-137.93123841623589,-133.3892615525193,"0.0212008,0.0104726,-4.42105e-05,4.98551e-08",Dickeya.zeae..RDA.R.,15,TSB,OD_595
40,cubic,21,21,0.1392578906851418,0.0044350672423195,-169.71743372568554,-165.53934397479185,"0.0317005,0.00183227,-7.80703e-06,8.93974e-09",Acinetobacter.clacoaceticus..RDA.R.,15,TSB,OD_595
41,logistic,22,22,0.2222324865280994,0.0034787199738609,-186.5469332560604,-183.27380589598545,"0.208677,0.0804153,58.2419",Stenotrophomonas.maltophilia..RDA.R.,15,TSB,OD_595
42,gompertz,32,29,0.7582817551963055,0.0176220727074406,-234.13884590075804,-229.7416381923589,"0.741582,0.138443,7.66708",Klebsiella.pneumonia..RDA.R.,15,TSB,OD_595
43,quadratic,21,21,0.2158214010777518,0.000497856849184,-217.64412863987795,-214.5105613267077,"-0.0148332,0.00121357,-1.57438e-06",Bacillus.pumilus..RDA.R.,15,TSB,OD_595
44,cubic,23,23,0.5290962278675901,0.0211478813616639,-152.80932462862364,-148.26734776490704,"-0.0408467,0.00663609,-2.37487e-05,2.24275e-08",Clavibacter.michiganensis..RDA.R.,15,TSB,OD_595
45,quadratic,12,12,0.3430851063829788,0.0023640360657425,-96.3874988772766,-94.9327789279126,"0.00076747,0.00426331,-1.4416e-05",Chryseobacterium.balustinum,25,TSB,OD_595
46,gompertz,17,17,0.9228723404255318,0.004786479509101,-132.9779486265533,-130.47830859438466,"0.974067,0.0234689,53.6465",Enterobacter.sp.,25,TSB,OD_595
47,cubic,15,15,0.7393617021276595,0.059580466919345,-74.9271654397436,-72.09496463533476,"-0.00596356,0.00426459,5.72871e-05,-3.70016e-07",Pantoea.agglomerans.1,25,TSB,OD_595
48,cubic,15,15,0.8510638297872338,0.2061327457295922,-56.30927683125407,-53.477076026845225,"-0.00483204,0.00414856,6.08002e-05,-4.37679e-07",Pantoea.agglomerans.2,25,TSB,OD_595
49,quadratic,14,14,0.2819148936170219,0.0004665807382342,-138.32791533935426,-136.41074335050848,"-0.00541131,0.00424141,-1.60995e-05",Bacillus.pumilus,25,TSB,OD_595
50,cubic,15,15,0.7811435656773347,0.0047616426123188,-112.82819177122164,-109.9959909668128,"-0.0201433,0.0225777,-0.000193114,4.22934e-07",Clavibacter.michiganensis,25,TSB,OD_595
51,cubic,13,13,0.2426820272157961,0.0009207107565034,-116.21908176909211,-113.95928433924598,"-0.00417803,0.00871477,-9.30705e-05,2.6513e-07",Pseudomonas.fluorescens.1,25,TSB,OD_595
52,gompertz,12,12,0.2948430200011509,0.0016896934784557,-100.41737747976188,-98.96265753039788,"0.294986,0.101126,12.1723",Pseudomonas.fluorescens.2,25,TSB,OD_595
53,cubic,13,13,0.1741821396993811,0.0022142245750096,-104.81143085213245,-102.5516334222863,"0.0235099,0.00885098,-0.00011955,4.1998e-07",Acinetobacter.clacoaceticus.1,25,TSB,OD_595
54,quadratic,14,14,0.3965386446512751,0.0374882241490474,-76.91900046679969,-75.00182847795391,"0.0255397,0.00700752,-4.91683e-05",Acinetobacter.clacoaceticus.2,25,TSB,OD_595
55,cubic,14,14,0.2234042553191493,0.0031873665331524,-109.42664599318354,-106.8704166747225,"0.0191333,0.00858372,-9.32863e-05,2.71802e-07",Stenotrophomonas.maltophilia.1,25,TSB,OD_595
56,gompertz,16,16,0.5478723404255316,0.0041810367352239,-125.9965562025116,-123.67879003579228,"0.521581,0.0734789,16.2919",Stenotrophomonas.maltophilia.2,25,TSB,OD_595
57,logistic,16,16,0.8909574468085106,0.0093284954941646,-113.15632406416522,-110.83855789744588,"0.911357,0.815194,4.8474",Klebsiella.pneumonia,25,TSB,OD_595
58,cubic,16,16,0.7792553191489361,0.0727152980556002,-78.3006753863111,-75.21032049735197,"-0.0505038,0.0403493,-0.000517809,1.80843e-06",Dickeya.zeae,25,TSB,OD_595
59,logistic,17,17,0.7074468085106383,0.035938926963159,-98.7055091739582,-96.20586914178956,"0.590427,0.32552,43.9476",Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2,25,TSB,OD_595
60,cubic,16,16,0.6728723404255317,0.0517722370517983,-83.73583935820253,-80.6454844692434,"-0.0803592,0.0363045,-0.000491589,1.81062e-06",Pantoea.agglomerans..RDA.R.,25,TSB,OD_595
61,logistic,15,15,0.7798408488063656,0.0205444623399535,-92.89821071947028,-90.77406011616364,"0.732803,0.485749,9.09137",Dickeya.zeae..RDA.R.,25,TSB,OD_595
62,cubic,14,14,0.1299734748010616,0.0008984715720425,-127.1542194969134,-124.59799017845238,"0.0188889,0.00520562,-6.31909e-05,2.05186e-07",Acinetobacter.clacoaceticus..RDA.R.,25,TSB,OD_595
63,logistic,13,13,0.222811671087534,0.0017546282310162,-109.83581926988026,-108.14097119749565,"0.212334,0.23423,14.7438",Stenotrophomonas.maltophilia..RDA.R.,25,TSB,OD_595
64,logistic,16,16,0.8328912466843493,0.0065622075343279,-118.78427104791882,-116.46650488119948,"0.841465,0.650777,5.2348",Klebsiella.pneumonia..RDA.R.,25,TSB,OD_595
65,cubic,15,15,0.2970822281167112,0.0004736982210247,-147.44485456949727,-144.61265376508842,"0.000402268,0.00374737,-5.11712e-06,-4.56184e-08",Bacillus.pumilus..RDA.R.,25,TSB,OD_595
66,cubic,16,16,0.5570291777188325,0.0053163587203298,-120.15288613244388,-117.06253124348476,"-0.0230899,0.0180912,-0.000165559,3.68073e-07",Clavibacter.michiganensis..RDA.R.,25,TSB,OD_595
67,quadratic,15,15,0.3492952618713267,0.0040660993689307,-117.19681989281176,-115.07266928950514,"0.0206627,0.00617935,-3.05046e-05",Chryseobacterium.balustinum,35,TSB,OD_595
68,gompertz,17,17,0.9297394289280696,0.0110911082281557,-118.6920232365391,-116.19238320437046,"0.935022,0.478356,4.02751",Enterobacter.sp.,35,TSB,OD_595
69,cubic,16,16,0.7462630675612419,0.048329270243739,-84.83690583881061,-81.74655094985148,"-0.0722443,0.0407502,-0.000567175,2.1243e-06",Pantoea.agglomerans.1,35,TSB,OD_595
70,cubic,15,15,0.8519165756488267,0.1258485390298567,-63.71089551087351,-60.87869470646467,"-0.0547158,0.0425705,-0.000649935,2.57854e-06",Pantoea.agglomerans.2,35,TSB,OD_595
71,cubic,15,15,0.2856243823789463,0.0015436379965518,-129.72495271244742,-126.89275190803858,"-0.00848052,0.00837992,-7.9575e-05,2.3441e-07",Bacillus.pumilus,35,TSB,OD_595
72,gompertz,17,17,0.7647058823529411,0.0033854130464979,-138.8653759258258,-136.36573589365713,"0.745655,0.162756,8.37249",Clavibacter.michiganensis,35,TSB,OD_595
73,gompertz,17,17,0.1871657754010693,0.0006960706343731,-165.75563693134131,-163.25599689917266,"0.179946,0.145638,7.15645",Pseudomonas.fluorescens.1,35,TSB,OD_595
74,logistic,15,15,0.2486631016042776,0.0104186975048067,-103.08305176666376,-100.95890116335714,"0.224009,0.39955,6.9301",Pseudomonas.fluorescens.2,35,TSB,OD_595
75,cubic,16,16,0.4251336898395723,0.0206295717867708,-98.4578948988122,-95.36754000985307,"0.0497275,0.0116543,-0.000135557,5.17847e-07",Acinetobacter.clacoaceticus.1,35,TSB,OD_595
76,cubic,16,16,0.3529411764705881,0.0327358362536705,-91.06997781586249,-87.97962292690336,"0.0169735,0.0165871,-0.000210605,6.78583e-07",Acinetobacter.clacoaceticus.2,35,TSB,OD_595
77,cubic,15,15,0.2198391420911527,0.0012137867953096,-133.33090636789504,-130.4987055634862,"0.0238499,0.00954796,-0.000123035,4.47705e-07",Stenotrophomonas.maltophilia.1,35,TSB,OD_595
78,logistic,16,16,0.2064343163538869,0.0060124569689089,-120.18416836406188,-117.86640219734254,"0.164137,0.288687,7.19079",Stenotrophomonas.maltophilia.2,35,TSB,OD_595
79,logistic,18,18,0.9088471849865948,0.0016125645016205,-161.76542280574017,-159.0943075320517,"0.920462,1.67268,2.31438",Klebsiella.pneumonia,35,TSB,OD_595
80,cubic,18,18,0.8579088471849861,0.8233417593931135,-47.52560191412893,-43.964114882544266,"0.188211,0.0488273,-0.000819386,3.41994e-06",Dickeya.zeae,35,TSB,OD_595
81,cubic,16,16,0.3475935828877004,0.0319712039726625,-91.4481340705252,-88.35777918156609,"0.0173782,0.0164721,-0.000208656,6.70327e-07",Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2,35,TSB,OD_595
82,cubic,17,17,0.6729222520107228,0.4237954862944532,-54.759199672883376,-51.42634629665851,"0.0795435,0.035894,-0.000603623,2.55658e-06",Pantoea.agglomerans..RDA.R.,35,TSB,OD_595
83,cubic,18,18,0.7887700534759353,0.7757199207744132,-48.59803915627504,-45.03655212469039,"0.200953,0.0441903,-0.00078377,3.34346e-06",Dickeya.zeae..RDA.R.,35,TSB,OD_595
84,logistic,15,15,0.1256684491978605,0.0028108037674206,-122.73502499117748,-120.61087438787084,"0.112987,0.46056,5.35265",Acinetobacter.clacoaceticus..RDA.R.,35,TSB,OD_595
85,logistic,15,15,0.1577540106951883,0.0034601991199397,-119.61719015332604,-117.49303955001942,"0.128945,0.276463,8.86609",Stenotrophomonas.maltophilia..RDA.R.,35,TSB,OD_595
86,logistic,18,18,0.8716577540106958,0.0036670798236064,-146.97716483874828,-144.3060495650598,"0.890669,1.2885,2.73006",Klebsiella.pneumonia..RDA.R.,35,TSB,OD_595
87,cubic,17,17,0.3716577540106953,0.0055060556060444,-128.59704199233747,-125.2641886161126,"0.00624277,0.0127151,-0.000142862,4.77748e-07",Bacillus.pumilus..RDA.R.,35,TSB,OD_595
88,logistic,17,17,0.6229946524064186,0.0187895458722892,-109.73035563432953,-107.23071560216088,"0.576672,0.344831,8.54982",Clavibacter.michiganensis..RDA.R.,35,TSB,OD_595
